Название больниц;Оставалось к 1889 г.;Заболело в 1889 г.;Выздоровело в 1889 г.;Умерло в 1889 г.;Оставалось к 1890 г.;Общий % смертности
Красноярская;146;1032;908;126;144;10.7
Енисейская;78;559;504;77;56;12.0
Ачинская;32;373;363;42;-;10.3
Канская;44;325;254;49;66;13.2
Минусинская;31;665;629;34;33;4.8
Итого;331;2954;2658;328;299;-
