Категория преступления;Статьи закона;Число дел;Осуждено Муж.;Осуждено Жен.;Дворян потомств. Муж.;Дворян потомств. Жен.;Дворян личных Муж.;Дворян личных Жен.;Почетн. гражд. и купцов Муж.;Почетн. гражд. и купцов Жен.;Духовного звания Муж.;Духовного звания Жен.;Мещан Муж.;Мещан Жен.;Крестьян Муж.;Крестьян Жен.
О преступлениях против веры и постановлений церкви;176-218;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0
О ересях и расколах;196-206;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0
О святотатстве;219-255;*;9;1;0;0;0;0;0;0;0;0;0;0;5;0
О лжеприсяге;256-240;2;4;5;0;0;0;0;0;0;0;0;0;0;4;0
О сопротивлении распоряжениям правительства;262-275;61;70;4;0;0;0;0;0;0;0;0;2;3;58;0
Об оскорблении присутственных мест и чиновников;276-288;51;52;11;0;0;5;1;4;1;0;0;9;5;12;0
О самовольном присвоении власти;289-302;5;5;0;0;0;2;0;0;0;0;0;2;0;0;0
О похищении бумаг или вещей из присутственных мест;505-507;6;6;0;0;0;0;0;0;0;0;0;0;0;5;0
О взломе тюрем и побеге;508-517;17;20;*;0;0;0;0;0;0;0;0;0;1;8;0
О преступлениях по службе государственной;529-505;54;68;1;0;0;29;0;1;0;0;0;4;0;30;0
Об уклонении от воинской повинности;506-520;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0
О нарушении уставов монетных;556-578;54;55;5;0;0;0;0;0;0;0;0;5;1;6;0
О нарушении уставов о гербовом сборе;579-590;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О нарушении устава горного;591-622;8;8;0;0;0;0;0;1;0;0;0;4;0;0;0
О нарушении уставов о питейном сборе;665-714;10;15;2;0;0;0;0;0;0;0;0;3;0;9;0
О нарушении акцизных правил о табаке;718-751;5;5;1;0;0;0;0;0;0;0;0;2;0;1;0
О преступлениях против народного здравия;851-900;4;4;5;0;0;0;0;0;0;0;0;1;0;3;0
О возбуждении к начатию противозаконных исков;939-946;4;5;0;0;0;0;0;0;0;0;0;0;0;5;0
О подговоре к побегу;947-949;1;2;1;0;0;0;0;0;0;0;0;0;0;2;0
О бродяжестве;950-974;9;9;0;0;0;0;0;0;0;0;0;0;0;5;0
