Категория преступления;Инородцев Муж.;Инородцев Жен.;Поселенцев Муж.;Поселенцев Жен.;Ссыльно-каторж. Муж.;Ссыльно-каторж. Жен.;Ниже 17 лет Муж.;Ниже 17 лет Жен.;17-20 лет Муж.;17-20 лет Жен.;21-30 лет Муж.;21-30 лет Жен.;31-40 лет Муж.;31-40 лет Жен.;41-50 лет Муж.;41-50 лет Жен.;51-60 лет Муж.;51-60 лет Жен.;Свыше 60 лет Муж.;Свыше 60 лет Жен.
О составлении подложных видов;0;0;2;0;3;0;0;0;0;0;3;0;7;0;4;0;1;0;0;0
О преступлениях против нравственности;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;1;1;0;1
О преступлениях по ст. 1008-1048;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
О нарушении уставов почтовых;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0
О нарушении уставов торговых;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
О присвоении прав состояния;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
О нарушении о народной переписи;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
О смертоубийстве;1;2;65;5;6;1;3;0;6;2;41;8;52;3;31;3;15;5;12;0
О нанесении увечья, ран;0;0;19;0;1;0;0;0;4;1;29;1;33;0;25;1;12;0;5;0
О произвольном оставлении в опасности;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
О преступлениях против чести женщин;0;0;0;0;0;0;0;0;3;0;9;1;31;1;8;1;2;0;1;0
О личных оскорблениях;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0
О клевете;0;0;2;0;0;0;0;0;0;0;2;0;1;0;2;0;1;0;0;1
Об угрозах;0;0;1;0;0;0;0;0;0;0;1;0;2;0;2;0;1;0;0;0
О преступлениях против брака;0;0;1;0;0;0;0;0;0;0;1;0;1;3;1;0;1;0;0;0
О преступлениях детей;0;0;4;0;0;0;22;0;43;5;58;3;14;0;0;0;1;0;0;0
О преступлениях против родства;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
О завладении чужим имуществом;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
О зажигательстве;0;0;22;1;0;0;4;0;6;0;28;1;23;3;9;1;2;0;2;0
Об истреблении имущества взрывом;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
О разбое;0;0;1;0;0;0;0;0;0;0;12;0;12;0;1;0;0;0;0;1
О грабеже;1;1;37;4;1;2;1;3;5;1;45;3;33;1;21;1;12;4;6;1
О краже;1;0;128;16;1;2;8;1;21;5;105;12;110;16;84;6;45;9;40;1
О мошенничестве;0;0;3;0;0;0;0;0;1;0;4;0;5;0;3;0;2;0;0;0
