Категория преступления;Статьи закона;Число дел;Осуждено Муж.;Осуждено Жен.;Дворян потомств. Муж.;Дворян потомств. Жен.;Дворян личных Муж.;Дворян личных Жен.;Почетн. гражд. и купцов Муж.;Почетн. гражд. и купцов Жен.;Духовного звания Муж.;Духовного звания Жен.;Мещан Муж.;Мещан Жен.;Крестьян Муж.;Крестьян Жен.
О составлении подложных видов;975-977;16;17;0;0;0;2;0;1;0;0;0;0;0;7;0
О преступлениях против общественной нравственности;993-1003;7;9;2;0;0;0;0;0;0;0;0;1;1;2;0
О преступлениях по ст. 1008-1048;1008-1048;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
О нарушении уставов почтового и телеграфного;1098-1148;2;4;0;0;0;1;0;0;0;0;0;0;0;2;0
О нарушении уставов торговых;1169-1202;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О присвоении прав состояния;1419-1422;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О нарушении правил о народной переписи;1446-1448;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О смертоубийстве;1449-1471;148;160;21;0;0;2;0;0;0;0;0;10;4;67;9
О нанесении увечья, ран;1477-1496;91;108;3;0;0;1;0;0;0;0;0;12;1;67;1
О произвольном оставлении человека в опасности;1505-1512;2;2;1;0;0;0;0;0;0;0;0;2;0;0;1
О преступлениях против чести женщин;1513-1523;41;36;3;0;0;0;0;0;0;0;0;1;2;33;1
О личных оскорблениях;1533-1534;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0
О клевете;1535-1539;6;6;1;0;0;0;0;0;0;0;0;1;0;2;1
Об угрозах;1545-1548;6;6;0;0;0;0;0;0;0;0;0;1;0;2;0
О преступлениях против союза брачного;1549-1585;6;4;4;0;0;0;0;0;0;0;0;1;1;2;3
О преступлениях детей против родителей;1591-1592;129;137;8;0;0;3;0;1;0;0;0;35;2;78;5
О преступлениях против союза родственного;1593-1597;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
О насильственном завладении чужим имуществом;1601-1605;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
О зажигательстве;1606-1615;70;74;6;0;0;0;0;0;0;0;0;23;0;26;5
Об истреблении имущества взрывом;1616-1625;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0
О разбое;1627-1636;20;25;1;0;0;0;0;0;0;0;0;3;0;12;0
О грабеже;1637-1643;131;121;17;0;0;1;0;0;0;0;0;14;0;55;3
О краже;1644-1664;572;415;50;0;0;1;1;1;1;0;0;49;0;221;16
О мошенничестве;1665-1676;12;15;0;0;0;1;0;0;0;0;0;3;0;5;0
