Название_больницы;Осталось_к_1898;Заболело;Выздоровело;Умерло;Осталось_к_1899
Красноярская;133;1491;1304;160;160
Енисейская;42;433;365;66;44
Ачинская;21;283;249;27;28
Канская;48;489;411;85;41
Минусинская;10;264;229;27;18
ИТОГО;254;2960;2558;365;291
