id;date_text;event_ref;context
d14;1889 год;;"выше горизонта весеннихъ водъ. Сторожевой домъ и службы к ъ нему окрашены. 2) Въ район ѣ выше и ниже шлюза на 64 версты производились работы по спрямлен iю р. Яковой, сд ѣланъ 20 спрямлен iй, въ общемъ вынуто 3466,44 куб. саж. Сторожевой домъ у* на 64 верстъ окрашенъ. 3) По сооружен iю шлюза и плотины на 114 вер ст ѣ на р. Мал о й К а с ѣ п р о и з в е д е н ы с л ѣ д у ю щi е р а б о т ы : о к о н ч е н а в ы е м к а к о т л о в а н а н а * о б * с о о р у ж е н i я , п р и * въ 1889 году вынуто земли *121,65 куб. с а ж . ; з а б и т о п о д ъ о с н о в а н i е в с ѣ к р у г л ы я и в с ѣ ш п у н т о в ы е с в а и , о к о н ч е н а п о с т р о й к о ю н и ж н я я г ол о в а ш л ю з а , в ъ в е р х н е й г о л о в ѣ в ы р у б л е н о о б щ е е о с н о в а н i е д л я ш л юз а и п л о т и н ы в ы с о т о ю 0 5 с а ж . ; у л о ж е н ъ к о р о л ь и ф а х б а у м ъ и н а р у б л е н ы с т ѣ н ы , з а и с к л ю ч ен i е м ъ л и ш ь н ѣ с к о л ь к и х ъ в ѣ н ц о в , в ы р ы т о о б * р у с л о д л и н о ю 2 0 с а ж . ; ш и р и н о ю 4 с а ж . , г л у б и н о ю въ 60, верхнемъ конц ѣ 0,70 с аж., въ"
d15;1890 года;;"о б щ е с т в е н ны й же сочинен iй 9763 въ 12705 томахъ на сумму 18960 руб. 64 коп., въ течен iе г о д а б и б л i о т е к а у в е л и ч и л а с ь н а 5 7 1 с о ч и н е нi е и 7 5 5 т о м о в ъ н а с у м м у 1 4 2 0 р у б . Е н и с е й с кi й м у з е й и м ѣ е т ъ п р е д м ет о в ъ е с т е с т в е н н ои с т о р и ч е с к а г о о т дѣ л а 4 0 1 1 , а н т р о п о л о г и ч е с к а г о 5 5 8 , т е х н и ч е с к а г о 5 7 0 , р и с у н к о в ъ, п л а н о в ъ и с т а р и н н ы х ъ а к т о в ъ 7 4 и м ѣ с т н ы х ъ п р о и з в е д е н i й 1 7 3 1 . В ъ о т ч е т н о м ъ г о д у о т к р ы т ъ М уз е й в ъ г о р . К р а с н о я р с кѣ , п р и м узе ѣ им ѣ е т с я б и б л и о т е к а . К о д н ю о т к р ы тi я б и б л и о т е к а с о с т о я л а и з ъ 3 5 0 0 н а з в а нi й ( о к о л о 6 / т . отд ѣ л ь н ы х ъ т о м о в ъ ) , о т д ѣ л н ы х ъ ж е предметовъ въ музе ѣ было 2500 экз.; къ 1 му же января 1890 года въ Красноярс к о м ъ м у з е ѣ н а х о д и л о с ь п р е д м е т о в ъ в ъ с е л ь с к ох о з я й с т в е н н о м ъ о т дѣ л ѣ 4 2 3 , в ъ з о о л о г и ч е с к о м ъ 1 6 9 9 , в ъ м и н е р а л о г и ч е с к о м ъ 7 1 4 , п а л е о н т ол о г и ч е с к о м ъ 5 1 , а р х е о л о г и ч ес к о м ъ 3 5 0 , э т н о г р а ф и ч е с к о м ъ 2 6 3 ,"
d16;1889 год;;за 1889 годъ.
d17;1889 год;;статей Обзора Енисейской губернiи за 1889 годъ.
d18;1889 год;;"Обзоръ Енисейской губерніи за 1889 годъ. I. Географическое положеніе губерніи. Енисейская губернія занимаетъ западную часть Восто чной Сибири, между 52° 21 1 и 77° 33 1 сѣв. шир. и 95° и 128 ° вост. долготы отъ острова Ферро. Наибольшая длина ея отъ границы Китая до мыса на восточной половинѣ Таймырскаго полуострова 2 800, а наибольшая ширина отъ запада къ востоку до 1300 верстъ. Енисейская губернія граничитъ съ сѣвера Ледовитымъ моремъ, съ сѣверо -востока Якутской областью, съ востока и юго-востока – Киренскимъ и Нижнеудинскимъ округами Иркутской губерніи, съ юга – владѣніями Китайской Имперіи, съ запада – Западною Сибирью, а именно: на юго -занадѣ и западѣ – съ округами Кузнецкимъ, Маріинскимъ и Нарымскимъ Томской губерніи и сѣверо -западѣ – Березовскимъ округомъ Тобольской губерніи. Въ юго -западной части губерніи, на пространствѣ около 500 верстъ, границами с лужитъ горный хребетъ, извѣстный подъ именемъ Кузнецкаго Алатау и рѣки Урюпъ и Чулымъ. Отъ Китайской Имперіи, на всемъ протяженіи, губернія отдѣлена цѣпью Саянскихъ горъ, отъ Нижнеудинскаго округа на большомъ протяженіи – рѣками Бирюсою и впадающею въ нее Тагуломъ; граница Киренскаго округа совпадаетъ на югѣ съ р. Ангарою, на сѣверѣ – съ Нижнею Тунгузкою, а вся сѣверо-восточная граница губерніи, на протяженіи до 700 верстъ – съ р. Анабаромъ. Площадь Енисейской губерніи простирается, по исчисленію Стрѣльбицкаго 1874 года, до 2259562,3 кв. верстъ или 46699 кв. миль, въ томъ числѣ: Квадр. верстъ. Квадр. миль. Красноярскій округъ на – – – – 18011,4 372,25 Ачинскій – – – – – 51177,0 1057,71 Канскій – – – – – 72989,5 1508,52 Минусинскій – – – – – 93497,1 1932,36 Енисейскій – – – – – 399012,7 8246,65 Туруханскій край: а) материка съ озерами – – – – 1616374,6 33406,66 б) подъ островами: въ Тазовской губѣ – – – – 5000,0 103,34 въ Енисейской „ – – – – 2900,0 59,94 въ Таймырской „ – – – – 550,0 11,36 Каменные – – – – – 50,0 1,03 По своей громадной величинѣ Енисейская губернія занимаетъ второе мѣсто въ ряду губерній Имперіи. Поверхность губерніи представляетъ большое разнообразіе и состоитъ изъ го рныхъ цѣпей и степныхъ пространствъ (въ Минусинскомъ округѣ) и низменныхъ тундръ (въ Туруханскомъ краѣ); впрочемъ обитаемыя части губерніи имѣютъ преимущественно гористый характеръ. Горные хребты, пересѣкающіе губернію въ разныхъ направленіяхъ, обусло вливаютъ и общую покатость ея къ сѣверу. Другая замѣчательная покатость съ востока на западъ обозначается направленіемъ трехъ Тунгузокъ, главныхъ притоковъ Енисея. Изъ хребтовъ самый значительный Саянскій въ Минусинскомъ округѣ, составляющій какъ бы продолженіе Алтайской горной возвышенности; въ связи съ нимъ тянется на сѣверѣ Кузнецкій –Алатау; изъ горныхъ кряжей на западной сторонѣ Енисея замѣчателенъ еще Кемчугскій. Покатость съ востока"
d19;1874 года;;"Обзоръ Енисейской губерніи за 1889 годъ. I. Географическое положеніе губерніи. Енисейская губернія занимаетъ западную часть Восто чной Сибири, между 52° 21 1 и 77° 33 1 сѣв. шир. и 95° и 128 ° вост. долготы отъ острова Ферро. Наибольшая длина ея отъ границы Китая до мыса на восточной половинѣ Таймырскаго полуострова 2 800, а наибольшая ширина отъ запада къ востоку до 1300 верстъ. Енисейская губернія граничитъ съ сѣвера Ледовитымъ моремъ, съ сѣверо -востока Якутской областью, съ востока и юго-востока – Киренскимъ и Нижнеудинскимъ округами Иркутской губерніи, съ юга – владѣніями Китайской Имперіи, съ запада – Западною Сибирью, а именно: на юго -занадѣ и западѣ – съ округами Кузнецкимъ, Маріинскимъ и Нарымскимъ Томской губерніи и сѣверо -западѣ – Березовскимъ округомъ Тобольской губерніи. Въ юго -западной части губерніи, на пространствѣ около 500 верстъ, границами с лужитъ горный хребетъ, извѣстный подъ именемъ Кузнецкаго Алатау и рѣки Урюпъ и Чулымъ. Отъ Китайской Имперіи, на всемъ протяженіи, губернія отдѣлена цѣпью Саянскихъ горъ, отъ Нижнеудинскаго округа на большомъ протяженіи – рѣками Бирюсою и впадающею въ нее Тагуломъ; граница Киренскаго округа совпадаетъ на югѣ съ р. Ангарою, на сѣверѣ – съ Нижнею Тунгузкою, а вся сѣверо-восточная граница губерніи, на протяженіи до 700 верстъ – съ р. Анабаромъ. Площадь Енисейской губерніи простирается, по исчисленію Стрѣльбицкаго 1874 года, до 2259562,3 кв. верстъ или 46699 кв. миль, въ томъ числѣ: Квадр. верстъ. Квадр. миль. Красноярскій округъ на – – – – 18011,4 372,25 Ачинскій – – – – – 51177,0 1057,71 Канскій – – – – – 72989,5 1508,52 Минусинскій – – – – – 93497,1 1932,36 Енисейскій – – – – – 399012,7 8246,65 Туруханскій край: а) материка съ озерами – – – – 1616374,6 33406,66 б) подъ островами: въ Тазовской губѣ – – – – 5000,0 103,34 въ Енисейской „ – – – – 2900,0 59,94 въ Таймырской „ – – – – 550,0 11,36 Каменные – – – – – 50,0 1,03 По своей громадной величинѣ Енисейская губернія занимаетъ второе мѣсто въ ряду губерній Имперіи. Поверхность губерніи представляетъ большое разнообразіе и состоитъ изъ го рныхъ цѣпей и степныхъ пространствъ (въ Минусинскомъ округѣ) и низменныхъ тундръ (въ Туруханскомъ краѣ); впрочемъ обитаемыя части губерніи имѣютъ преимущественно гористый характеръ. Горные хребты, пересѣкающіе губернію въ разныхъ направленіяхъ, обусло вливаютъ и общую покатость ея къ сѣверу. Другая замѣчательная покатость съ востока на западъ обозначается направленіемъ трехъ Тунгузокъ, главныхъ притоковъ Енисея. Изъ хребтовъ самый значительный Саянскій въ Минусинскомъ округѣ, составляющій какъ бы продолженіе Алтайской горной возвышенности; въ связи съ нимъ тянется на сѣверѣ Кузнецкій –Алатау; изъ горныхъ кряжей на западной сторонѣ Енисея замѣчателенъ еще Кемчугскій. Покатость съ востока"
d20;1888 года;;"берніи простирается до 700 верстъ; рѣка эта носитъ характеръ быстрой, горной рѣки и плаваніе по ней крайне эатрудняется отъ значительнаго числа пороговъ; главнѣйшими изъ нихъ считаются: Стрѣлочный, Гребенской и Мурскій. Подкаменная Тунгузка беретъ на чало въ Енисейскомъ округѣ, имѣетъ теченія до 1000 верстъ, частію судоходна и вливается въ Енисей подъ 61° 85 1 сѣв. шир. Нижняя Тунгузка издавна играла важную роль въ исторіи завоеванія Сибири: она служила казакамъ главнымъ путемъ къ рѣкѣ Ленѣ. По Ту руханскому краю Нижняя Тунгузка протекаетъ на протяженіи 850 верстъ и вливается въ Енисей подъ 65° 47 1 сѣв. шир.; берега ея не населены и посѣщаются, какъ и Подкаменной Тунгузки, одними бродячими инородцами тунгузскихъ родовъ. Изъ второстепенныхъ притоко въ Енисея съ правой стороны можно назвать Усъ, Ою, Тубу, Сыду, Ману и Канъ; ни одна изъ этихъ рѣкъ не протекаетъ менѣе 160 верстъ; Канъ же имѣетъ теченія до 500 верстъ. Съ лѣвой стороны Енисей принимаетъ въ себя рѣки, менѣе значительныя по длинѣ; изъ числ а ихъ стоитъ упомянуть объ Абаканѣ и Туруханѣ. Абаканъ беретъ начало въ Томской губерніи изъ Абаканскихъ горъ, служащихъ водораздѣломъ этой рѣки съ притоками Телецкаго озера. Абаканъ орошаетъ западную часть Минусинскаго округа; въ верхнемъ теченіи рѣка эта пробивается чрезъ узкія и скалистыя ущелья; только отъ устья р. Таштыпа долина Абакана расширяется. Длина теченія Абакана до 400 верстъ. Туруханъ течетъ по тундрамъ и вливается въ Енисей подъ 65° 50 1 сѣв. шир. Изъ рѣкъ, впадающихъ въ Ледовитое море , замѣчательны по величинѣ – Анабара, Хатанга и Тазъ; первая беретъ начало подъ 66° сѣв. шир., течетъ на протяженіи 1000 верстъ и вливается въ Анабарскій заливъ подъ 73° 1 1 сѣв. шир.; русло ея порожисто, берега отчасти тундристы, отчасти скалисты и покр ыты лѣсомъ; долина Анабары весьма мало населена и посѣщается только звѣропромышленниками. Хатанга вытекаетъ изъ Хатангскаго озера и имѣетъ болѣе 1000 верстъ теченія. Рѣка Тазъ течетъ въ сѣверо -западномъ углу губерніи по пустынной мѣстности на протяженіи около 700 верстъ и вливается въ Тазовскую губу. Кромѣ означенныхъ рѣкъ, губернію орошаютъ еще рѣки системы Оби, изъ коихъ самыя большія Чулымъ и Кеть. Озеръ въ губерніи также много; изъ соленыхъ и горько -соленыхъ въ Минусинскомъ и Ачинскомъ округахъ замѣчательны: Степное, Калараевское, Татарское и Шира; два послѣднія замѣчательны минеральными и цѣлебными свойствами. Большія прѣсноводныя озера – Ессейское, Пясино и Таймырское находятся въ Туруханскомъ краѣ. Климатъ Енисейской губерніи, по преимуществу, континенталенъ. II. Естественныя и производительныя силы губерніи и экономическая дѣятельность населенія. а) Земледѣліе. (Приложеніемъ этой статьи служитъ вѣдомость № 1.) Посѣвы по губерніи вообще начались: озимые съ половины Іюля и до Сентября мѣсяца 1888 года, а яровые съ конца Апрѣля и въ продолженіе Мая 1889 года. Посѣвъ яровыхъ хлѣбовъ противъ 1888 года начался нѣсколько позднѣе, по случаю холода и долго -лежавшаго на поляхъ снѣга. Всходы хлѣбовъ сначала вообще были удовлетворительны и подавали надежду на хорошій урожай, за исключеніемъ Енисейскаго округа, въ которомъ, по случаю долгаго лежанія снѣговъ на поляхъ, поздняго посѣва, холодной весенней погоды и продолжавшейся засухи, всходы хлѣбовъ были не совсѣмъ удовлетворительны. По прочимъ же округамъ нѣсколько повліяло на всходы хлѣбовъ изобиліе дождей и разлитіе рѣкъ весною, по-"
d21;1889 года;;"берніи простирается до 700 верстъ; рѣка эта носитъ характеръ быстрой, горной рѣки и плаваніе по ней крайне эатрудняется отъ значительнаго числа пороговъ; главнѣйшими изъ нихъ считаются: Стрѣлочный, Гребенской и Мурскій. Подкаменная Тунгузка беретъ на чало въ Енисейскомъ округѣ, имѣетъ теченія до 1000 верстъ, частію судоходна и вливается въ Енисей подъ 61° 85 1 сѣв. шир. Нижняя Тунгузка издавна играла важную роль въ исторіи завоеванія Сибири: она служила казакамъ главнымъ путемъ къ рѣкѣ Ленѣ. По Ту руханскому краю Нижняя Тунгузка протекаетъ на протяженіи 850 верстъ и вливается въ Енисей подъ 65° 47 1 сѣв. шир.; берега ея не населены и посѣщаются, какъ и Подкаменной Тунгузки, одними бродячими инородцами тунгузскихъ родовъ. Изъ второстепенныхъ притоко въ Енисея съ правой стороны можно назвать Усъ, Ою, Тубу, Сыду, Ману и Канъ; ни одна изъ этихъ рѣкъ не протекаетъ менѣе 160 верстъ; Канъ же имѣетъ теченія до 500 верстъ. Съ лѣвой стороны Енисей принимаетъ въ себя рѣки, менѣе значительныя по длинѣ; изъ числ а ихъ стоитъ упомянуть объ Абаканѣ и Туруханѣ. Абаканъ беретъ начало въ Томской губерніи изъ Абаканскихъ горъ, служащихъ водораздѣломъ этой рѣки съ притоками Телецкаго озера. Абаканъ орошаетъ западную часть Минусинскаго округа; въ верхнемъ теченіи рѣка эта пробивается чрезъ узкія и скалистыя ущелья; только отъ устья р. Таштыпа долина Абакана расширяется. Длина теченія Абакана до 400 верстъ. Туруханъ течетъ по тундрамъ и вливается въ Енисей подъ 65° 50 1 сѣв. шир. Изъ рѣкъ, впадающихъ въ Ледовитое море , замѣчательны по величинѣ – Анабара, Хатанга и Тазъ; первая беретъ начало подъ 66° сѣв. шир., течетъ на протяженіи 1000 верстъ и вливается въ Анабарскій заливъ подъ 73° 1 1 сѣв. шир.; русло ея порожисто, берега отчасти тундристы, отчасти скалисты и покр ыты лѣсомъ; долина Анабары весьма мало населена и посѣщается только звѣропромышленниками. Хатанга вытекаетъ изъ Хатангскаго озера и имѣетъ болѣе 1000 верстъ теченія. Рѣка Тазъ течетъ въ сѣверо -западномъ углу губерніи по пустынной мѣстности на протяженіи около 700 верстъ и вливается въ Тазовскую губу. Кромѣ означенныхъ рѣкъ, губернію орошаютъ еще рѣки системы Оби, изъ коихъ самыя большія Чулымъ и Кеть. Озеръ въ губерніи также много; изъ соленыхъ и горько -соленыхъ въ Минусинскомъ и Ачинскомъ округахъ замѣчательны: Степное, Калараевское, Татарское и Шира; два послѣднія замѣчательны минеральными и цѣлебными свойствами. Большія прѣсноводныя озера – Ессейское, Пясино и Таймырское находятся въ Туруханскомъ краѣ. Климатъ Енисейской губерніи, по преимуществу, континенталенъ. II. Естественныя и производительныя силы губерніи и экономическая дѣятельность населенія. а) Земледѣліе. (Приложеніемъ этой статьи служитъ вѣдомость № 1.) Посѣвы по губерніи вообще начались: озимые съ половины Іюля и до Сентября мѣсяца 1888 года, а яровые съ конца Апрѣля и въ продолженіе Мая 1889 года. Посѣвъ яровыхъ хлѣбовъ противъ 1888 года начался нѣсколько позднѣе, по случаю холода и долго -лежавшаго на поляхъ снѣга. Всходы хлѣбовъ сначала вообще были удовлетворительны и подавали надежду на хорошій урожай, за исключеніемъ Енисейскаго округа, въ которомъ, по случаю долгаго лежанія снѣговъ на поляхъ, поздняго посѣва, холодной весенней погоды и продолжавшейся засухи, всходы хлѣбовъ были не совсѣмъ удовлетворительны. По прочимъ же округамъ нѣсколько повліяло на всходы хлѣбовъ изобиліе дождей и разлитіе рѣкъ весною, по-"
d22;1888 года;;"берніи простирается до 700 верстъ; рѣка эта носитъ характеръ быстрой, горной рѣки и плаваніе по ней крайне эатрудняется отъ значительнаго числа пороговъ; главнѣйшими изъ нихъ считаются: Стрѣлочный, Гребенской и Мурскій. Подкаменная Тунгузка беретъ на чало въ Енисейскомъ округѣ, имѣетъ теченія до 1000 верстъ, частію судоходна и вливается въ Енисей подъ 61° 85 1 сѣв. шир. Нижняя Тунгузка издавна играла важную роль въ исторіи завоеванія Сибири: она служила казакамъ главнымъ путемъ къ рѣкѣ Ленѣ. По Ту руханскому краю Нижняя Тунгузка протекаетъ на протяженіи 850 верстъ и вливается въ Енисей подъ 65° 47 1 сѣв. шир.; берега ея не населены и посѣщаются, какъ и Подкаменной Тунгузки, одними бродячими инородцами тунгузскихъ родовъ. Изъ второстепенныхъ притоко въ Енисея съ правой стороны можно назвать Усъ, Ою, Тубу, Сыду, Ману и Канъ; ни одна изъ этихъ рѣкъ не протекаетъ менѣе 160 верстъ; Канъ же имѣетъ теченія до 500 верстъ. Съ лѣвой стороны Енисей принимаетъ въ себя рѣки, менѣе значительныя по длинѣ; изъ числ а ихъ стоитъ упомянуть объ Абаканѣ и Туруханѣ. Абаканъ беретъ начало въ Томской губерніи изъ Абаканскихъ горъ, служащихъ водораздѣломъ этой рѣки съ притоками Телецкаго озера. Абаканъ орошаетъ западную часть Минусинскаго округа; въ верхнемъ теченіи рѣка эта пробивается чрезъ узкія и скалистыя ущелья; только отъ устья р. Таштыпа долина Абакана расширяется. Длина теченія Абакана до 400 верстъ. Туруханъ течетъ по тундрамъ и вливается въ Енисей подъ 65° 50 1 сѣв. шир. Изъ рѣкъ, впадающихъ въ Ледовитое море , замѣчательны по величинѣ – Анабара, Хатанга и Тазъ; первая беретъ начало подъ 66° сѣв. шир., течетъ на протяженіи 1000 верстъ и вливается въ Анабарскій заливъ подъ 73° 1 1 сѣв. шир.; русло ея порожисто, берега отчасти тундристы, отчасти скалисты и покр ыты лѣсомъ; долина Анабары весьма мало населена и посѣщается только звѣропромышленниками. Хатанга вытекаетъ изъ Хатангскаго озера и имѣетъ болѣе 1000 верстъ теченія. Рѣка Тазъ течетъ въ сѣверо -западномъ углу губерніи по пустынной мѣстности на протяженіи около 700 верстъ и вливается въ Тазовскую губу. Кромѣ означенныхъ рѣкъ, губернію орошаютъ еще рѣки системы Оби, изъ коихъ самыя большія Чулымъ и Кеть. Озеръ въ губерніи также много; изъ соленыхъ и горько -соленыхъ въ Минусинскомъ и Ачинскомъ округахъ замѣчательны: Степное, Калараевское, Татарское и Шира; два послѣднія замѣчательны минеральными и цѣлебными свойствами. Большія прѣсноводныя озера – Ессейское, Пясино и Таймырское находятся въ Туруханскомъ краѣ. Климатъ Енисейской губерніи, по преимуществу, континенталенъ. II. Естественныя и производительныя силы губерніи и экономическая дѣятельность населенія. а) Земледѣліе. (Приложеніемъ этой статьи служитъ вѣдомость № 1.) Посѣвы по губерніи вообще начались: озимые съ половины Іюля и до Сентября мѣсяца 1888 года, а яровые съ конца Апрѣля и въ продолженіе Мая 1889 года. Посѣвъ яровыхъ хлѣбовъ противъ 1888 года начался нѣсколько позднѣе, по случаю холода и долго -лежавшаго на поляхъ снѣга. Всходы хлѣбовъ сначала вообще были удовлетворительны и подавали надежду на хорошій урожай, за исключеніемъ Енисейскаго округа, въ которомъ, по случаю долгаго лежанія снѣговъ на поляхъ, поздняго посѣва, холодной весенней погоды и продолжавшейся засухи, всходы хлѣбовъ были не совсѣмъ удовлетворительны. По прочимъ же округамъ нѣсколько повліяло на всходы хлѣбовъ изобиліе дождей и разлитіе рѣкъ весною, по-"
d23;1888 г.;;Овса – – – – ,, – 70 ,, – 70 ,, – 60 ,, – 45 Туруханскомъ краѣ: Муки ржаной – – – – 1 – 20 ,, – 90 1 – 20 1 – 30 – пшеничной – – – 1 90 2 – – 1 – 70 1 – 80 Овса – – – – ,, – – ,, – – ,, – – ,, – – Осенью 1888 г. и весною 1889 года было посѣяно хлѣба: П о о к р у г а м ъ . Озимаго. Яроваго. Картофеля. Ч Е Т В Е Р Т Е Й .
