# Таблица 54 (Изображение 83 / input_file_21.png): Недоимка окладных сборов за 1901 год (Часть 1 Правая)
Поступило: Недоимокъ,Поступило: Оклада,Зачтено: Недоимокъ,Зачтено: Оклада,Исключено: Недоимокъ,Исключено: Оклада,ВСЕГО поступило/зачтено,Будущ. лѣтъ: Недоимокъ,Будущ. лѣтъ: Оклада,Осталось: ВСЕГО,Осталось: Отсрочен.,Осталось: Срочныхъ,Всего по казн. своей губ.
913-87,—,————,————,————,————,913-73,————,————,17641-32 3/4,4285-78,13267-54 3/4,————
————,————,————,————,————,————,————,————,————,8-79,————,8-79,————
————,————,————,————,————,————,————,————,————,48-76 1/2,27-13 1/2,21-63,————
————,————,————,————,————,————,————,————,————,17-97,————,17-97,————
2-10,————,————,————,————,————,2-10,————,————,67-14,————,67-14,————
3-28,————,————,————,————,————,3-28,————,————,21-28,————,21-28,————
919-16,————,————,————,————,————,919-16,————,————,17697-21,4310-91 1/2,13386-29 1/2,————
8-88 1/2,————,————,————,————,————,8-88 1/2,————,————,71-96,————,71-96,————
————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,10-76 1/2,————,10-76 1/2,————
-6,————,————,————,————,————,-6,————,————,3-41,————,3-41,————
8-82 1/2,————,————,————,————,————,8-82 1/2,————,————,71-96,————,71-96,————
2-10,————,————,————,————,————,2-10,————,————,4575-18,978-28,3596-90,————
8062-27 1/2,————,————,————,————,————,8062-27 1/2,————,————,36080-16 1/4,1882-69 1/2,34197-46 3/4,————
————,————,————,————,————,————,————,————,————,12-33,————,12-33,————
5-50,————,————,————,————,————,5-50,————,————,155-90 1/2,————,155-90 1/2,————
8080-81 1/2,————,————,————,————,————,8080-81 1/2,————,————,59153-51 1/4,2860-97 1/2,36292-53 3/4,————
-28,————,————,————,————,————,-28,————,————,130-8,————,130-8,————
-4,————,————,————,————,————,-4,————,————,974-76 1/2,————,974-76 1/2,————
64,————,————,————,————,————,64,————,————,9-34 1/2,————,9-34 1/2,————
-56,————,————,————,————,————,-56,————,————,6-29,————,6-29,————
1-4,————,————,————,————,————,1-4,————,————,814-48,————,814-48,————
357-19 1/2,17-61,————,————,————,————,374-80 1/2,————,112-88,3240-60,————,3240-60,————
164-67,16625-1,————,————,————,————,16789-77,————,————,1815-69,————,1815-69,————
