Категорія капитала,Наименованіе,Къ 1 января 1901 г. состояло (руб.),Къ 1 января 1901 г. состояло (коп.),Въ приходѣ за 1901 г. (руб.),Въ приходѣ за 1901 г. (коп.),Въ расходѣ за 1901 г. (руб.),Въ расходѣ за 1901 г. (коп.),Къ 1 января 1902 г. состоитъ (руб.),Къ 1 января 1902 г. состоитъ (коп.)
Капиталъ 1-го разряда,Принадлежащій Енисейскому вѣдомству общественнаго призрѣнія,123756,58 1/4,64545,32,64210,4,124091,86 1/4
Капиталъ 2-го разряда,а) Строительный на постройку больницъ вѣдомства общественнаго призрѣнія,9969,39 1/2,92111,37,26338,97,75741,79 1/2
Капиталъ 2-го разряда,б) Пожертвованный инородцами на уничтоженіе сифилиса въ Ачинскомъ и Минусинскомъ уѣздахъ,3740,78,—,—,—,—,3740,78
Капиталъ 2-го разряда,в) Кружечный сборъ въ пользу богоугодныхъ заведеній,1369,8 1/4,—,—,—,—,1369,8 1/4
Капиталъ 3-го разряда,Апелляціонный,652,54 1/2,—,—,60,—,592,54 1/2
Капиталъ 4-го разряда,а) Молотилина,627,14,22,80,—,—,649,94
Капиталъ 4-го разряда,б) Пожертвованный на сооруженіе церкви при Красноярскихъ богоугодныхъ заведеніяхъ,2056,90,12909,34,2315,—,12651,24
Капиталъ 4-го разряда,в) Залоги представляемые разными лицами въ обезпеченіе подрядовъ по поставкѣ разныхъ предметовъ для больницъ,—,—,1300,—,300,—,1000,—
Итого,,142172,42 1/2,170888,83,93224,1,219837,24 1/2
