# Таблица 58 (Изображение 87 / input_file_25.png): Недоимка окладных сборов за 1901 год (Часть 3 Правая)
Поступило: Недоимокъ,Поступило: Оклада,Зачтено: Недоимокъ,Зачтено: Оклада,Исключено: Недоимокъ,Исключено: Оклада,ВСЕГО поступило/зачтено,Будущ. лѣтъ: Недоимокъ,Будущ. лѣтъ: Оклада,Осталось: ВСЕГО,Осталось: Отсрочен.,Осталось: Срочныхъ,Всего по казн. своей губ.
305-33,————,————,————,————,————,305-33,————,————,4102-76 1/2,————,4102-76 1/2,————
307-7,1261-99,————,————,————,————,2069-6,————,-70,2055-76,————,2055-76,————
11-83,4-92,————,————,————,————,16-75,————,————,2325-49,————,2325-49,————
3949-62,4553-34,————,————,————,————,8502-96,————,————,————,————,————,————
646-60,8264-5,————,————,————,————,8910-65,————,————,824-24,————,824-24,————
79-84,————,————,————,————,————,79-84,————,————,————,————,————,————
5499-79,14584-30,————,————,————,————,19884-9,————,-70,9308-28 1/4,————,9308-28 1/4,67-51
73255-44,281354-92,14-93 3/4,511-93 1/2,————,144-62,355329-85,————,1664-40,111596-61 1/2,————,111596-61 1/2,————
354638-36,————,————,————,————,————,————,————,————,————,————,————,————
552-90,552-45,————,85-5,————,————,1020-41,————,129-96,4108-62,————,4108-62,————
————,2501-50,————,587-5,————,————,3188-55,————,760-40,360-59,————,360-59,————
552-90,3183-76,————,672-10,————,————,4208-76,————,890-36,4469-21,————,4469-21,————
142441-46 1/4,373864-56 1/4,14-93 3/4,1895-31 1/2,————,144-62,718350-90,————,3812-63 1/4,339774-87 1/2,7171-89,332602-98 1/2,67-51
