Мѣсяцы,Законнорожденныхъ (м.п.),Законнорожденныхъ (ж.п.),Незаконнорожденныхъ (м.п.),Незаконнорожденныхъ (ж.п.),Всего рожденій безъ мертворожденныхъ (м.п.),Всего рожденій безъ мертворожденныхъ (ж.п.),Въ томъ числѣ: Двойней (м.п.),Въ томъ числѣ: Двойней (ж.п.),Въ томъ числѣ: Тройней (м.п.),Въ томъ числѣ: Тройней (ж.п.),Въ томъ числѣ: Четверней (м.п.),Въ томъ числѣ: Четверней (ж.п.),Въ томъ числѣ: Подкидышей (м.п.),Въ томъ числѣ: Подкидышей (ж.п.),Перешедшихъ въ православіе (м.п.),Перешедшихъ въ православіе (ж.п.)
Январь,1338,1297,167,152,1505,1449,29,33,—,—,—,—,—,—,6,7
Февраль,1162,1168,95,86,1254,1254,19,41,5,1,—,—,—,—,4,4
Март,1212,1205,150,141,1362,1346,26,44,—,—,—,—,—,—,5,11
Апрель,1237,1203,91,80,1328,1283,44,30,—,—,—,—,—,1,3,2
Май,1168,1110,106,104,1274,1214,46,32,—,—,—,—,—,—,3,1
Июнь,1433,1180,120,119,1553,1299,39,29,—,—,—,—,1,—,27,24
Июль,1582,1415,122,125,1704,1540,48,42,—,—,—,—,1,—,18,17
Август,1351,1351,124,121,1475,1472,40,38,—,—,—,—,—,—,1,2
Сентябрь,1301,1197,110,89,1411,1286,35,33,—,—,—,—,—,1,2,1
Октябрь,1421,1342,127,132,1548,1474,24,28,—,—,—,—,—,1,4,—
Ноябрь,1169,1177,122,134,1291,1311,28,22,—,—,—,—,—,—,9,3
Декабрь,1295,1239,125,116,1420,1355,22,34,—,—,—,—,—,—,2,1
Итого,15669,14884,1459,1399,17128,16283,400,406,5,1,—,—,2,3,84,73
