Ачинскаго округа: М.,Ачинскаго округа: Ж.,Минусинскаго округа: М.,Минусинскаго округа: Ж.,Усинскій пограничный округъ: М.,Усинскій пограничный округъ: Ж.,Итого въ городахъ: М.,Итого въ городахъ: Ж.,Итого въ округахъ и уѣздахъ: М.,Итого въ округахъ и уѣздахъ: Ж.,Всего въ губерніи: М.,Всего въ губерніи: Ж.
————,————,————,————,————,————,18,————,26,————,44,————
7,3,8,2,————,————,2828,2776,1345,1054,4173,3830
————,————,————,————,————,————,29,14,2,————,31,14
74,32,54,22,28,17,35,19,25582,24283,25617,24302
285,32,395,77,98,6,2085,1391,46028,6977,48113,8368
————,————,————,————,————,————,1764,1701,5134,6375,6898,8076
1171,355,1931,833,357,135,37109,32374,325728,275256,362837,307630
