Городъ,Брандмейстеровъ,Рабочихъ,Лошадей,Машинъ,Гидропультовъ,Дрогъ лѣтнихъ,Дрогъ зимнихъ,Дрогъ для возки инструментовъ,Бочекъ,Ухватовъ,Багровъ,Паровиковъ,Колодцевъ,Щитовъ,Лѣстницъ,Ломовъ,Топоровъ,Кайлъ,Желѣзныхъ лопатъ,Фонарей,Машинныхъ рукавовъ,Лѣстницъ (кошки),Ведеръ,Годовое содержаніе (руб.),Годовое содержаніе (коп.)
Красноярск,1,33,37,5,—,18,11,—,10,2,12,—,2,18,4,9,14,6,10,8,8,4,17000,—
Енисейскъ,—,15,19,8,2,15,16,2,6,4,18,1,—,20,8,5,15,10,2,5,5,16,10,6116,—
Канскъ,—,13,14,4,—,20,13,—,19,—,18,—,—,11,2,—,6,—,—,—,—,—,6,3742,14
Ачинскъ,—,11,16,4,—,10,9,2,7,2,10,2,—,6,2,3,10,—,2,4,7,1,4,2336,15
Минусинскъ,—,12,15,6,1,24,22,—,18,—,38,—,—,15,8,48 (всего),—,—,—,—,—,20,3715,78
ИТОГО,1,84,101,27,3,87,71,4,60,8,96,3,2,70,24,126 (всего),14,17,20,21,40,32910,7
