НАИМЕНОВАНІЕ сословій,Енисейскаго округа Сѣверной СИСТЕМЪ: М.,Енисейскаго округа Сѣверной СИСТЕМЪ: Ж.,Енисейскаго округа Южной СИСТЕМЪ: М.,Енисейскаго округа Южной СИСТЕМЪ: Ж.,Красноярскаго округа: М.,Красноярскаго округа: Ж.,Канскаго округа: М.,Канскаго округа: Ж.
Нижнихъ чиновъ состоящихъ на казенномъ содержаніи,————,————,————,————,————,————,————,————
VI. Разночинцевъ.,7,2,66,————,————,————,————,————
VII. Иностран. подданныхъ,1,————,————,————,————,————,————,————
VIII. Инородцевъ,12,9,59,4,————,————,————,————
IX. Ссыльныхъ всѣхъ категорій,911,9,831,83,4,————,152,12
Пришедшихъ съ ссыльными по волѣ,————,————,————,————,————,————,————,————
Итого,2652,417,4229,925,75,33,454,119
