# Таблица 28 (Изображения 58–63): Распределение смертности населения по возрастам и месяцам в городах
Возрастъ,Январь (М),Январь (Ж),Февраль (М),Февраль (Ж),Март (М),Март (Ж),Апрель (М),Апрель (Ж),Май (М),Май (Ж),Июнь (М),Июнь (Ж),Июль (М),Июль (Ж),Август (М),Август (Ж),Сентябрь (М),Сентябрь (Ж),Октябрь (М),Октябрь (Ж),Ноябрь (М),Ноябрь (Ж),Декабрь (М),Декабрь (Ж),Всего за годъ (М),Всего за годъ (Ж),ИТОГО
48 - 49,1,—,————,——,————,——,1,—,1,—,1,1,5,—,————,——,2,1,6,3,1,—,1,1,34,13,47
49 - 50,2,—,1,—,1,—,3,1,4,1,2,2,2,1,————,——,————,——,————,——,1,1,1,1,6,4,10
50 - 51,1,2,5,2,1,—,————,——,2,1,3,3,1,1,2,2,1,1,2,—,2,1,2,1,8,9,17
51 - 52,————,——,————,——,————,——,1,—,————,——,————,——,2,1,————,——,2,1,2,2,2,1,2,—,14,5,19
52 - 53,1,1,1,1,————,——,3,—,————,——,1,—,2,1,————,——,1,1,1,—,2,—,2,1,12,9,21
53 - 54,1,1,1,—,————,——,2,3,2,—,————,——,4,2,3,—,1,1,1,1,2,2,2,3,20,4,24
54 - 55,1,—,————,——,2,—,1,2,2,—,2,1,1,1,3,—,2,—,————,——,————,——,1,—,15,4,19
55 - 56,————,——,1,—,2,—,————,——,————,——,1,—,1,—,————,——,1,1,————,——,1,—,————,——,13,9,22
56 - 57,2,—,2,—,2,—,1,—,1,—,1,—,4,—,2,1,2,1,2,2,1,2,2,3,33,19,52
57 - 58,————,——,5,1,1,1,1,—,1,1,2,2,————,——,————,——,————,——,————,——,1,—,————,——,9,7,16
58 - 59,————,——,2,—,4,1,2,1,2,1,2,1,————,——,————,——,1,1,————,——,1,—,1,—,9,5,14
59 - 60,————,——,4,1,1,1,1,—,2,1,1,—,————,——,1,1,1,1,3,1,1,—,————,——,7,5,12
60 - 61,5,—,2,2,2,2,3,3,4,2,3,1,————,——,————,——,————,——,————,——,4,1,————,——,7,6,13
61 - 62,2,1,1,—,2,—,1,3,————,——,1,—,4,1,————,——,1,1,1,1,4,1,2,2,13,14,27
62 - 63,————,——,3,—,————,——,1,—,1,1,————,——,1,—,2,1,————,——,1,—,2,1,3,1,11,4,15
63 - 64,1,1,————,——,1,—,1,—,1,—,1,2,1,2,1,—,————,——,2,—,2,—,3,3,11,7,18
64 - 65,————,——,————,——,————,——,1,—,1,—,1,1,2,—,————,——,1,—,1,—,2,—,2,1,5,3,8
65 - 66,————,——,————,——,2,2,————,——,————,——,————,——,————,——,————,——,1,1,1,1,1,1,1,1,8,4,12
66 - 67,2,—,————,——,————,——,————,——,————,——,————,——,4,1,————,——,2,1,1,—,4,1,————,——,16,15,31
67 - 68,————,——,————,——,3,—,1,1,————,——,1,—,1,2,1,—,————,——,2,—,2,2,1,1,11,7,18
68 - 69,————,——,1,—,————,——,1,2,————,——,1,1,————,——,2,—,————,——,1,—,1,—,1,2,5,3,8
69 - 70,2,—,1,—,————,——,1,—,1,—,1,—,————,——,————,——,————,——,1,1,1,1,1,1,8,4,12
70 - 71,2,4,3,3,2,1,2,2,————,——,2,2,4,1,1,—,1,1,1,1,1,1,1,2,16,13,29
71 - 72,1,—,1,—,————,——,————,——,1,—,1,—,1,—,————,——,1,—,1,—,1,1,1,—,5,2,7
72 - 73,————,——,1,2,————,——,1,—,1,1,2,1,1,1,————,——,————,——,1,1,————,——,1,1,7,6,13
73 - 74,————,——,1,—,————,——,————,——,3,1,————,——,————,——,————,——,1,1,1,1,1,—,1,2,7,5,12
74 - 75,————,——,————,——,————,——,————,——,————,——,————,——,2,1,————,——,————,——,————,——,————,——,1,2,2,2,4
77 - 78,————,——,1,—,————,——,1,2,1,1,1,—,————,——,————,——,1,1,————,——,1,—,1,3,6,5,11
78 - 79,————,——,2,—,————,——,————,——,————,——,1,—,————,——,————,——,1,1,1,3,————,——,1,1,5,4,9
79 - 80,————,——,1,—,————,——,1,—,————,——,1,—,————,——,1,—,————,——,————,——,1,—,1,1,5,1,6
80 - 81,————,——,————,——,————,——,1,1,1,1,1,—,2,1,————,——,1,1,1,1,1,1,1,3,5,4,9
Неизвѣстныхъ лѣтъ,————,——,1,—,2,—,2,—,1,1,5,1,2,—,1,—,2,4,1,—,1,1,3,2,19,5,24
Итого,123,95,123,104,133,103,128,106,110,86,140,107,175,130,126,86,85,64,87,68,121,72,110,88,1461,1109,2570
81 - 85,1,—,————,——,3,—,————,——,1,—,1,—,————,——,————,——,1,—,————,——,1,—,2,—,8,9,17
85 - 90,2,2,————,——,1,—,————,——,1,—,1,1,2,1,————,——,1,—,————,——,1,—,2,—,8,10,18
90 - 95,————,——,1,—,————,——,————,——,————,——,1,—,————,——,1,—,————,——,————,——,1,—,2,—,2,4,6
95 - 100,————,——,————,——,————,——,————,——,1,1,————,——,————,——,————,——,————,——,2,2,1,—,1,—,2,4,6
100 - 105,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,2,2,————,——,————,——,1,—,1,2,3
105 - 110,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,2,2,————,——,————,——,————,——
110 - 115,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,1,—,————,——,1,—,1
115 - 120,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,1,—,————,——
120 - 125,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,1,—,————,——
Итого,3,2,2,4,————,——,1,—,1,3,4,2,2,1,1,—,2,4,1,—,1,1,3,2,20,28,48
ВСЕГО,126,99,125,108,133,107,129,106,111,89,144,109,176,134,127,86,87,68,88,68,122,73,113,90,1481,1137,2618
