# Таблица 62 (Изображение 91 / input_file_29.png): Судебная статистика преступлений (Часть 2 Правая)
Водворяем. рабочихъ: М.,Водворяем. рабочихъ: Ж.,Военныхъ: М.,Военныхъ: Ж.,Инородцевъ: М.,Инородцевъ: Ж.,Иностран. подданныхъ: М.,Иностран. подданныхъ: Ж.,Поселенцевъ: М.,Поселенцевъ: Ж.,Ссыльно-каторжныхъ: М.,Ссыльно-каторжныхъ: Ж.,Ниже 17 лѣтъ: М.,Ниже 17 лѣтъ: Ж.,17-20: М.,17-20: Ж.,21-30: М.,21-30: Ж.,31-40: М.,31-40: Ж.,41-50: М.,41-50: Ж.,51-60: М.,51-60: Ж.,Свыше 60 лѣтъ: М.,Свыше 60 лѣтъ: Ж.
—,—,—,—,————,————,————,————,————,————,————,————,————,————,3,3,5,7,2,1,2,————,————,————,————,————
—,—,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,2,————,————,————,————,————,————,————
—,—,————,————,————,————,————,————,1,————,————,————,————,————,————,————,————,————,3,————,7,————,3,————,————,————
—,—,————,————,————,————,————,————,————,————,————,————,————,————,————,————,3,————,————,————,2,————,————,————,1,————
—,—,1,————,2,1,————,————,16,1,————,————,1,————,6,4,23,3,16,3,6,1,5,————,2,————
—,—,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
1,————,————,————,2,————,————,————,18,————,————,————,3,————,18,1,49,3,30,2,32,————,5,————,3,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,————,————,1,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,1,1,5,————,————,————,————,————,1,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,1,1,————,————,————,————,1,————,3,4,2,1,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,1,1,————,————,————,————,————,————,3,————,4,————,1,————,————,————,————,————
————,————,————,————,————,————,————,————,1,1,————,————,————,————,————,————,————,1,————,————,————,————,————,————,————,————
————,————,————,————,————,2,————,————,10,————,————,————,————,————,8,————,14,2,3,3,3,1,————,————,————,————
————,————,————,————,————,1,————,————,76,1,————,————,2,2,14,1,80,5,71,6,55,3,17,1,2,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,2,————,————,————,————,————,3,————,————,————,1,————,2,————,————,————,————,————
————,————,————,————,————,————,————,————,2,————,————,————,————,————,3,————,2,————,1,————,2,————,————,————,1,1
3,————,19,————,9,6,2,————,191,6,1,————,6,2,64,11,279,43,292,27,203,14,63,5,26,4
