# Таблица 29 (Изображения 64–69): Распределение смертности населения по возрастам и месяцам в уездах
Возрастъ,Январь (М),Январь (Ж),Февраль (М),Февраль (Ж),Март (М),Март (Ж),Апрель (М),Апрель (Ж),Май (М),Май (Ж),Июнь (М),Июнь (Ж),Июль (М),Июль (Ж),Август (М),Август (Ж),Сентябрь (М),Сентябрь (Ж),Октябрь (М),Октябрь (Ж),Ноябрь (М),Ноябрь (Ж),Декабрь (М),Декабрь (Ж),Всего за годъ (М),Всего за годъ (Ж),ИТОГО
45 - 46,4,5,4,4,8,9,2,4,8,2,9,2,5,2,1,5,2,3,2,3,3,4,4,2,36,40,76
46 - 47,2,1,1,3,4,5,1,5,3,3,4,4,3,3,3,3,4,3,2,————,6,4,4,2,64,43,107
47 - 48,2,3,3,5,3,1,7,2,————,1,5,3,2,2,4,3,4,2,2,————,3,————,2,6,37,21,58
48 - 49,3,1,4,5,5,3,10,3,5,3,2,2,2,2,4,3,4,4,2,3,————,————,2,6,38,29,67
49 - 50,2,6,6,3,3,1,5,2,2,6,2,2,1,1,3,2,2,1,1,————,4,3,————,————,43,27,70
50 - 51,13,5,6,2,4,5,12,4,7,5,1,1,1,1,3,3,3,3,4,5,5,5,————,1,37,34,71
51 - 52,4,2,1,2,2,2,3,3,2,4,————,2,3,2,6,3,5,7,5,5,2,4,6,5,76,50,126
52 - 53,6,3,5,3,4,5,3,2,4,1,5,2,5,2,————,1,1,1,4,2,4,2,5,2,35,24,59
53 - 54,1,4,4,4,3,6,2,2,6,1,4,1,1,1,2,4,1,2,2,2,2,————,3,————,36,33,69
54 - 55,7,3,5,1,9,2,3,3,2,3,2,1,1,5,1,2,4,2,5,3,4,2,4,————,39,32,71
55 - 56,6,3,2,5,5,5,3,7,4,6,3,1,2,2,4,2,4,2,3,3,————,————,2,6,46,31,77
56 - 57,3,5,5,6,3,3,10,7,5,5,6,3,8,2,4,————,3,10,3,————,10,6,6,4,71,45,116
57 - 58,4,2,4,1,6,8,5,1,5,5,4,2,2,2,8,1,1,2,5,2,6,3,6,2,66,42,108
58 - 59,2,1,————,3,2,2,2,2,————,1,2,2,3,2,2,1,4,2,3,3,1,1,————,4,41,32,73
59 - 60,4,1,4,5,9,2,1,4,4,4,3,6,4,3,3,5,3,3,2,3,4,5,5,1,41,28,69
60 - 61,15,12,13,8,9,10,14,12,11,8,7,6,3,3,5,————,6,4,5,5,3,3,5,6,52,42,94
61 - 62,4,3,5,4,1,3,2,2,6,3,1,————,7,5,11,3,2,4,7,6,10,8,10,7,116,89,205
62 - 63,4,4,5,4,3,3,4,2,9,3,1,4,3,1,2,2,3,————,1,2,7,2,5,1,40,23,63
63 - 64,4,3,3,1,4,2,2,4,4,2,2,3,3,1,6,3,4,1,5,————,2,1,3,2,47,28,75
64 - 65,5,6,4,3,6,5,5,5,4,6,2,2,3,2,3,3,4,3,5,1,5,3,6,3,43,34,77
65 - 66,9,10,7,9,6,8,6,2,3,4,7,2,1,————,6,5,3,3,5,————,7,1,8,4,59,38,97
66 - 67,6,4,1,3,5,2,10,3,————,3,————,————,7,3,7,6,7,————,10,6,1,5,6,4,76,64,140
67 - 68,5,5,4,3,4,3,4,5,2,7,4,5,4,1,5,1,————,1,5,1,3,1,————,————,44,20,64
68 - 69,8,3,4,3,1,4,5,4,2,1,3,2,6,5,11,3,2,4,7,6,10,8,10,7,113,56,169
69 - 70,13,10,8,10,9,3,10,3,3,————,2,2,3,1,4,1,4,2,3,1,4,3,2,5,71,29,100
70 - 71,10,15,8,7,15,11,16,7,14,7,10,8,4,2,7,2,5,3,3,4,2,5,6,4,127,47,174
71 - 72,4,1,6,3,7,4,3,3,1,1,3,3,8,3,10,4,6,9,12,6,10,14,11,10,224,95,319
72 - 73,2,2,4,3,5,4,7,1,————,————,————,————,5,2,5,————,7,————,3,1,2,2,3,3,51,25,76
73 - 74,5,5,3,4,2,2,4,1,2,————,————,————,6,————,2,3,6,2,5,5,4,3,4,3,48,33,81
74 - 75,6,8,4,5,4,2,8,3,3,————,3,1,3,1,2,1,6,1,3,————,2,2,4,5,34,27,61
75 - 76,4,11,4,4,8,5,3,3,3,6,6,4,1,————,3,1,1,5,1,2,4,————,2,2,40,32,72
76 - 77,1,4,2,2,————,2,————,3,————,1,7,2,4,4,5,————,5,4,9,4,7,5,7,8,62,56,118
77 - 78,4,1,4,2,3,3,3,3,2,2,2,2,3,————,1,2,2,————,6,2,2,————,2,2,30,27,57
78 - 79,1,2,2,1,2,1,3,————,————,————,————,————,1,1,3,2,4,2,6,6,3,4,3,2,38,21,59
79 - 80,2,3,5,4,5,7,5,5,2,————,2,————,5,————,3,3,2,2,1,————,4,2,2,7,29,18,47
80 - 81,10,10,9,7,9,9,7,6,5,8,11,3,————,————,6,2,————,2,3,————,4,3,4,3,39,38,77
Неизвѣстныхъ лѣтъ,————,——,1,————,2,————,2,————,————,——,————,——,7,4,5,5,8,6,7,7,11,9,12,7,101,81,182
