Окружной городъ Ачинскъ: М.,Окружной городъ Ачинскъ: Ж.,Уѣздъ Ачинскій: М.,Уѣздъ Ачинскій: Ж.,Окружной городъ Минусинскъ: М.,Окружной городъ Минусинскъ: Ж.,Уѣздъ Минусинскій: М.,Уѣздъ Минусинскій: Ж.,Заштатный городъ Туруханскъ: М.,Заштатный городъ Туруханскъ: Ж.,Туруханскій край: М.,Туруханскій край: Ж.,Усинскій пограничный округъ: М.,Усинскій пограничный округъ: Ж.
44,34,11,8,————,————,51,46,————,————,————,————,3,7
29,37,20,23,————,————,45,32,————,————,1,3,3,5
————,————,————,————,————,————,————,————,————,————,5,————,————,————
6,————,39,————,4,————,124,————,4,————,7,————,2,————
————,————,————,————,————,————,4,————,————,————,————,————,————,————
6,13,130,138,15,10,116,275,————,4,————,11,1,1
————,————,————,————,————,————,————,————,————,————,————,————,————,————
23,17,4,————,————,————,13,14,————,————,————,————,————,————
30,37,12,16,————,————,26,30,6,10,7,7,————,————
47,43,22,19,69,73,18,24,————,————,————,————,3,3
2253,2556,310,316,2135,2009,684,680,19,19,87,89,78,48
451,604,45682,47429,————,————,73157,73515,15,10,1460,1330,1118,1080
211,————,157,————,134,————,————,————,————,————,————,————,————,————
16,————,182,————,————,————,1100,————,29,————,30,————,19,————
————,————,280,————,————,————,————,————,————,————,————,————,————,————
96,————,1852,————,————,————,2331,————,2,————,————,————,65,————
49,149,688,2304,————,————,2229,3995,————,26,————,20,8,27
