id;date_text;event_ref;context
d1;1870 г.;;Красноярская городская дума Отчетъ о состоянiи Енисейской губернiи за 1870 г. Статистическiе свѣдѣнiя о посѣвѣ и урожаѣ хлѣба, о числѣ обывательскихъ квартиръ. 15 Января 1871 г. 2 Ноября 1871 г. на 19 листахъ Красноярский
d2;15 Января 1871 г.;;Красноярская городская дума Отчетъ о состоянiи Енисейской губернiи за 1870 г. Статистическiе свѣдѣнiя о посѣвѣ и урожаѣ хлѣба, о числѣ обывательскихъ квартиръ. 15 Января 1871 г. 2 Ноября 1871 г. на 19 листахъ Красноярский
d3;2 Ноября 1871 г.;;Красноярская городская дума Отчетъ о состоянiи Енисейской губернiи за 1870 г. Статистическiе свѣдѣнiя о посѣвѣ и урожаѣ хлѣба, о числѣ обывательскихъ квартиръ. 15 Января 1871 г. 2 Ноября 1871 г. на 19 листахъ Красноярский
d4;1870 г.;;3 Опись бумагамъ въ дѣлѣ 1870 г. подъ № 661. Предписанiе Нач. губернiи № 13823 Отпускъ съ вѣдомости № 1592 Предпис. Губ. правленiя № 3630 Вѣдомость Отпускъ рапорта въ Губ. прав. № 1724 Отношенiи Кр. Квар. Коммисiи № 457, 513 Цирк. пред. Начальн. губ. съ формами отъ Отпускъ свѣдѣнiй къ отчету Отпускъ съ отнош. въ Статист. Ком. № 471 Итого: 1. 2. 1. 1. 1. 3. 4. 6. 1. 20
d5;15 Октября 1870;;5 15 Октября 1870 Красноярской Городской Думѣ Предписываю Городской Дум ѣ представить Г. Начальнику Губерн iи въ непродолжительномъ времени, согласно отосланной въ думу при предписан iи Г. бывшаго Начальника Губерн iи отъ 2 ч. Сентября 1858 года форм ѣ в ѣдомость о посѣвѣ и урожаѣ хлѣба у занимающихся хлѣбопашествомъ купцовъ и мѣщанъ г. Красноярска, присоединя къ тому свѣденiе сколько къ 1 ч. Октября ЕНИСЕЙСКОЕ ОБЩЕЕ ГУБЕРНСКОЕ УПРАВЛЕНIЕ Отд ѣленiе 3 Столъ 1 О доставленiи свѣденiя о посѣвѣ и урожаѣ хлѣба 14 Октября 1870 года. № № 13823. г. Красноярскъ Требуемая симъ предписанiемъ вѣдомость Городск** Дума** доставлена Г. Начальнику губернiи 17го Октября за № 1592.
d6;1858 года;;5 15 Октября 1870 Красноярской Городской Думѣ Предписываю Городской Дум ѣ представить Г. Начальнику Губерн iи въ непродолжительномъ времени, согласно отосланной въ думу при предписан iи Г. бывшаго Начальника Губерн iи отъ 2 ч. Сентября 1858 года форм ѣ в ѣдомость о посѣвѣ и урожаѣ хлѣба у занимающихся хлѣбопашествомъ купцовъ и мѣщанъ г. Красноярска, присоединя къ тому свѣденiе сколько къ 1 ч. Октября ЕНИСЕЙСКОЕ ОБЩЕЕ ГУБЕРНСКОЕ УПРАВЛЕНIЕ Отд ѣленiе 3 Столъ 1 О доставленiи свѣденiя о посѣвѣ и урожаѣ хлѣба 14 Октября 1870 года. № № 13823. г. Красноярскъ Требуемая симъ предписанiемъ вѣдомость Городск** Дума** доставлена Г. Начальнику губернiи 17го Октября за № 1592.
d7;14 Октября 1870 года;;5 15 Октября 1870 Красноярской Городской Думѣ Предписываю Городской Дум ѣ представить Г. Начальнику Губерн iи въ непродолжительномъ времени, согласно отосланной въ думу при предписан iи Г. бывшаго Начальника Губерн iи отъ 2 ч. Сентября 1858 года форм ѣ в ѣдомость о посѣвѣ и урожаѣ хлѣба у занимающихся хлѣбопашествомъ купцовъ и мѣщанъ г. Красноярска, присоединя къ тому свѣденiе сколько къ 1 ч. Октября ЕНИСЕЙСКОЕ ОБЩЕЕ ГУБЕРНСКОЕ УПРАВЛЕНIЕ Отд ѣленiе 3 Столъ 1 О доставленiи свѣденiя о посѣвѣ и урожаѣ хлѣба 14 Октября 1870 года. № № 13823. г. Красноярскъ Требуемая симъ предписанiемъ вѣдомость Городск** Дума** доставлена Г. Начальнику губернiи 17го Октября за № 1592.
d8;1870 год;;7 Отпускъ Его Превосходительству Господину Енисейскому Гражданскому Губернатору Красноярской Городской Думы ВѢдомость О посѢвѢ и урожаѢ хлѢба и сборѢ сѢна Енисейской Губернiи Губернскаго города Красноярска Въ 1870 году. № 1592 11 Октября 1870 г. отъ Сентября за №
d9;11 Октября 1870 г.;;7 Отпускъ Его Превосходительству Господину Енисейскому Гражданскому Губернатору Красноярской Городской Думы ВѢдомость О посѢвѢ и урожаѢ хлѢба и сборѢ сѢна Енисейской Губернiи Губернскаго города Красноярска Въ 1870 году. № 1592 11 Октября 1870 г. отъ Сентября за №
d10;1870 года;;"8 Наименованiе города Число душъ Посѣяно Собрано Степень урожая Состоянiе Красноярскаго Общ. хлѣбнаго магазина къ 1 ч. Октября 1870 года. Губернскiй городъ Красноярскъ Енисейской губернiи Ревизскихъ Обоего пола Озимаго Яроваго Картоф. Озимаго Яроваго Картоф. Сѣна Озимаго Яроваго Картоф. состоитъ налицо въ ссудахъ въ недоимкахъ Озимаго Яроваго Озимаго Яроваго Озимаго Яроваго четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ возовъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ четвертей четвериковъ гарнцевъ — — — — 159 — 6 ½ — — — — — — — — — 95 3 3 ½ 2115 4340 400 25 2800 250 2000 2400 225 159 6 ½ 95 3 3 ½ Примѣчанiе 1, Въ 1870 г. раздачи хлѣба на посѣвъ не было по неимѣнiю надобности въ семенахъ; 2, капитала хлѣбному магазину принадлежащаго состоитъ налицо 207 р. 96 1/2 к. Серiями 1500 руб., а въ векселяхъ 1774 р. 70 коп. Запаснаго хлѣба на продажу бѣднымъ жителямъ муки * 26 кулей 4 п. 13 1/2 купленной въ 1867 году по 1 р. 15 к. на 274 р.8 3/4 к."
