Кому отводились квартиры?,Количество полугодовых квартир,Стоимость годовой квартиры (руб),Итого расходы (руб)
Сотенным Управлениям Енисейского казачьего конного полка,6,100,800
Станичному Управлению 1-й сотни того же полка,2,0,100
Проезжающим Штаб и Обер Офицерам,6,100,800
Оспопрививателям городским,4,18,36
Нижним воинским чинам (семейным),174,18,1566
Нижним воинским чинам (холостым),68,12,108
Всего,358,0,9110
