id;date_text;event_ref;context
d11;1866 года;"ref=""#report_enisei_1872""";"31 — 3 — количествѣ хлѣба и урожаѣ другихъ огородныхъ овощей не могъ имѣть неблагопріятнаго вліянія на народное продовольствіе. Для обеспеченія народнаго продовольствія, на случай неурожая, въ губерніи находится 305 запасныхъ хлѣбныхъ магазиновъ, въ которыхъ къ 1-му Января 1873 года состояло на лицо хлѣба 284,698 четв. (озимаго 168,695 четв. и яроваго 116003 четв.). Въ недоимкѣ числится 57,171 четв. (озимаго 24,560 четв. и яроваго 32,611 четв.); противу предъидущаго года въ недоимкѣ озимаго меньше 23,984 четв., а яроваго больше на 2,518 четв., в общей же сложности меньше на 21,466 четвертей. Общаго продовольственнаго капитала по всѣмъ окружнымъ казначействамъ состояло на лицо 1,529 р. 431/4 к. въ недоимкѣ 1,838 р. 70 к. и въ долгу по ссудамъ на хлѣбномъ запасномъ капиталѣ 34,435 р. 78 к. Продовольственный капиталъ губерніи простирается до 65,655 р. 55 к., съ процентами по 8 Іюля 1866 года и находится въ обращеніи въ Государственномъ банкѣ вкладомъ на безсрочное время. Въ отчетномъ году всѣми винокуренными заводами переработано 729,020 пуд. 21 фунт. муки. Другія отрасли земледѣленія, какъ-то: производство пеньки, льна, маслобойныхъ сѣмянъ, табаку, огородныхъ овощей не имѣютъ большаго значенія въ губерніи — жители занимаются или почти исключительно для собственныхъ домашнихъ потребностей. Приложеніемъ къ этой статьѣ служитъ вѣдомость № 1-й. г] Промыслы сельскаго и городскаго населенія и г) про -г] Промыслы сельскаго и городскаго населенія и г) промышленность заводская и фабричная. мышленность заводская и фабричная. Въ промыслахъ городскаго и сельскаго населенія, вообще весьма не значительныхъ, въ теченіи отчетнаго года существенныхъ измѣненій не произошло и новыхъ не возникло, равно какъ не послѣдовало значительнаго уселенія заводской и фабричной дѣятельности, которое могло бы имѣть серьезное вліяніе на увеличеніе благосостоянія населенія. Желѣзо-дѣлательный, чугуно-литейный и стальной заводъ, принадле-"
d12;1872 г.;"ref=""#industrial_production_1872""";33 — 5 — Сталетомительная . . . . . . 1 Пудлинговыхъ . . . . . . 2 Сварочныхъ . . . . . . 4 Нагрѣвательная . . . . . . 1 Листоотдѣлательная . . . . . . 1 Кричныхъ горновъ . . . . . . 1 Кузничныхъ горновъ . . . . . . 44 Движущихъ машинъ паровыхъ: Прокатная въ 60 силъ . . . . . 1 — — 30 — . . . . . 1 Воздуходувная въ 25 силъ . . . . . 1 Молотовъ паровыхъ . . . . . 2 Паровая машина при мукомольной мельницѣ въ 4 силы 1 Итого . 7 Устройство мастерскихъ: Механическая . . . . . . . 1 Столярная . . . . . . . 1 Съ 1 Явнаря 1872 г. по 1 Января 1873 г. приготовлено рудъ желѣзныхъ . . . . . . . 77,262 пуд. Выплавлено чугуна въ штыкахъ и крохахъ, получаемыхъ при отливкѣ и очисткѣ отлитыхъ вещей . 36358 п. на сумму 10907 р. 40 к. въ отливахъ . . . . 3752 п. на сумму 1876 р. Итого . 12783 р. 40 к. Среднее содержаніе изъ 100 пудовъ руды . 55 пуд. 301/2 ф. Съ 1 Января 1872 г. по 1 Января 1873 г. выдѣлано желѣза и издѣлій, а имѣнно: Кричнаго дѣльнаго . . 918 п. 35 ф. на 1837 р. к.
d13;1 Января 1873 г.;"ref=""#industrial_production_1872""";33 — 5 — Сталетомительная . . . . . . 1 Пудлинговыхъ . . . . . . 2 Сварочныхъ . . . . . . 4 Нагрѣвательная . . . . . . 1 Листоотдѣлательная . . . . . . 1 Кричныхъ горновъ . . . . . . 1 Кузничныхъ горновъ . . . . . . 44 Движущихъ машинъ паровыхъ: Прокатная въ 60 силъ . . . . . 1 — — 30 — . . . . . 1 Воздуходувная въ 25 силъ . . . . . 1 Молотовъ паровыхъ . . . . . 2 Паровая машина при мукомольной мельницѣ въ 4 силы 1 Итого . 7 Устройство мастерскихъ: Механическая . . . . . . . 1 Столярная . . . . . . . 1 Съ 1 Явнаря 1872 г. по 1 Января 1873 г. приготовлено рудъ желѣзныхъ . . . . . . . 77,262 пуд. Выплавлено чугуна въ штыкахъ и крохахъ, получаемыхъ при отливкѣ и очисткѣ отлитыхъ вещей . 36358 п. на сумму 10907 р. 40 к. въ отливахъ . . . . 3752 п. на сумму 1876 р. Итого . 12783 р. 40 к. Среднее содержаніе изъ 100 пудовъ руды . 55 пуд. 301/2 ф. Съ 1 Января 1872 г. по 1 Января 1873 г. выдѣлано желѣза и издѣлій, а имѣнно: Кричнаго дѣльнаго . . 918 п. 35 ф. на 1837 р. к.
d14;1 Января 1872 г.;"ref=""#industrial_production_1872""";33 — 5 — Сталетомительная . . . . . . 1 Пудлинговыхъ . . . . . . 2 Сварочныхъ . . . . . . 4 Нагрѣвательная . . . . . . 1 Листоотдѣлательная . . . . . . 1 Кричныхъ горновъ . . . . . . 1 Кузничныхъ горновъ . . . . . . 44 Движущихъ машинъ паровыхъ: Прокатная въ 60 силъ . . . . . 1 — — 30 — . . . . . 1 Воздуходувная въ 25 силъ . . . . . 1 Молотовъ паровыхъ . . . . . 2 Паровая машина при мукомольной мельницѣ въ 4 силы 1 Итого . 7 Устройство мастерскихъ: Механическая . . . . . . . 1 Столярная . . . . . . . 1 Съ 1 Явнаря 1872 г. по 1 Января 1873 г. приготовлено рудъ желѣзныхъ . . . . . . . 77,262 пуд. Выплавлено чугуна въ штыкахъ и крохахъ, получаемыхъ при отливкѣ и очисткѣ отлитыхъ вещей . 36358 п. на сумму 10907 р. 40 к. въ отливахъ . . . . 3752 п. на сумму 1876 р. Итого . 12783 р. 40 к. Среднее содержаніе изъ 100 пудовъ руды . 55 пуд. 301/2 ф. Съ 1 Января 1872 г. по 1 Января 1873 г. выдѣлано желѣза и издѣлій, а имѣнно: Кричнаго дѣльнаго . . 918 п. 35 ф. на 1837 р. к.
d15;1 Января 1873 г.;"ref=""#industrial_production_1872""";33 — 5 — Сталетомительная . . . . . . 1 Пудлинговыхъ . . . . . . 2 Сварочныхъ . . . . . . 4 Нагрѣвательная . . . . . . 1 Листоотдѣлательная . . . . . . 1 Кричныхъ горновъ . . . . . . 1 Кузничныхъ горновъ . . . . . . 44 Движущихъ машинъ паровыхъ: Прокатная въ 60 силъ . . . . . 1 — — 30 — . . . . . 1 Воздуходувная въ 25 силъ . . . . . 1 Молотовъ паровыхъ . . . . . 2 Паровая машина при мукомольной мельницѣ въ 4 силы 1 Итого . 7 Устройство мастерскихъ: Механическая . . . . . . . 1 Столярная . . . . . . . 1 Съ 1 Явнаря 1872 г. по 1 Января 1873 г. приготовлено рудъ желѣзныхъ . . . . . . . 77,262 пуд. Выплавлено чугуна въ штыкахъ и крохахъ, получаемыхъ при отливкѣ и очисткѣ отлитыхъ вещей . 36358 п. на сумму 10907 р. 40 к. въ отливахъ . . . . 3752 п. на сумму 1876 р. Итого . 12783 р. 40 к. Среднее содержаніе изъ 100 пудовъ руды . 55 пуд. 301/2 ф. Съ 1 Января 1872 г. по 1 Января 1873 г. выдѣлано желѣза и издѣлій, а имѣнно: Кричнаго дѣльнаго . . 918 п. 35 ф. на 1837 р. к.
d16;1871 г.;"ref=""#report_enisei_1872""";35 — 7 — Получено: Процентовъ безводнаго спирта. Въ полугарѣ ведръ (40%) 30, 157, 705—21. 744, 167 На золотыхъ промыслахъ рабочихъ было въ отчетномъ году 15971 ч., менѣе предъидущаго года на 996 ч. Золота добыто 466 п. 21 ф. 1 з. 52 дол., менѣе 1871 г. на 31 п. 18 ф. 46 з. 771/4 дол. Въ 1871 году производились работы, заработки и развѣдки на пріискахъ: 1-й системы Сѣверной Енисейскаго округа . 110 2-й » Южной . 105 3-й » Ачинскаго округа . . . 21 4-й » Минусинскаго округа . . 35 5-й » Бирюсинской, Канскаго округа . 21 Всего . 292 Вынуто песку кубическихъ саженъ на пріисках: 1-й системы . . . . . . 112369 2-й » . . . . . . 897691/2 3-й » . . . . . . 19385 4-й » . . . . . . 29775 5-й » . . . . . . 5856 На всѣхъ . 257154 Промыто песковъ на пріискахъ: 1-й системы . . . . . 134950315 п. 2-й » . . . . . 1077236433-й » . . . . . 231106504-й » . . . . . 341480005-й » . . . . . 7166000307098608 п.
d17;1871 год;"ref=""#report_enisei_1872""";35 — 7 — Получено: Процентовъ безводнаго спирта. Въ полугарѣ ведръ (40%) 30, 157, 705—21. 744, 167 На золотыхъ промыслахъ рабочихъ было въ отчетномъ году 15971 ч., менѣе предъидущаго года на 996 ч. Золота добыто 466 п. 21 ф. 1 з. 52 дол., менѣе 1871 г. на 31 п. 18 ф. 46 з. 771/4 дол. Въ 1871 году производились работы, заработки и развѣдки на пріискахъ: 1-й системы Сѣверной Енисейскаго округа . 110 2-й » Южной . 105 3-й » Ачинскаго округа . . . 21 4-й » Минусинскаго округа . . 35 5-й » Бирюсинской, Канскаго округа . 21 Всего . 292 Вынуто песку кубическихъ саженъ на пріисках: 1-й системы . . . . . . 112369 2-й » . . . . . . 897691/2 3-й » . . . . . . 19385 4-й » . . . . . . 29775 5-й » . . . . . . 5856 На всѣхъ . 257154 Промыто песковъ на пріискахъ: 1-й системы . . . . . 134950315 п. 2-й » . . . . . 1077236433-й » . . . . . 231106504-й » . . . . . 341480005-й » . . . . . 7166000307098608 п.
d18;1872 г.;"ref=""#settler_welfare_reform""";36 — 8 — Добыто шлиховаго золота: 1-й системы . . . 245 пуд. 36 фун. 6 зол. 48 дол. 2-й » . . . 162 — 25 — 11 — 65 — 3-й » . . . 15 — 33 — »» — 63 — 4-й » . . . 29 — 20 — 59 — 80 — 5-й » . . . 12 — 26 — 18 — 84 — Всего . 466 — 21 — 18 — 52 — Сложное содержаніе въ ста пудахъ песку было на пріискахъ: 1-й системы . . . . . . . 671/4 д. 2-й » . . . . . . . 551/2 — 3-й » . . . . . . . 251/4 — 4-й » . . . . . . . 313/4 — 5-й » . . . . . . . 621/2 — 49 — 1872 г. на пріискахъ находилось: Рабоч. Служащ. Женщ. и дѣтей. 1-й системы . . . 7340 353 765 2-й » . . . 6278 326 568 3-й » . . . 773 54 136 4-й » . . . 1226 66 82 5-й » . . . 324 32 17 15941 831 1568 Въ общемъ числѣ рабочихъ находилось: Великороссійскихъ мѣщанъ и крестьянъ . . . 1273 Сибирскихъ мѣщанъ и крестьянъ . . . 6814 Ссыльно-поселенцевъ . . . 7854 Итого . 15941
d19;1872 г.;"ref=""#report_enisei_1872""";40 — 12 — Съ окончаніемъ лѣтнихъ работъ для осеннихъ и зимнихъ оставалось рабочихъ на пріискахъ: 1-й системы . . . . . . . 2260 2-й » . . . . . . . 1435 3-й » . . . . . . . 120 4-й » . . . . . . . . 72 5-й » . . . . . . . . 75 Итого . 3944 Къ этой статьѣ слѣдуетъ вѣдомость № 2-й, о фабрикахъ и заводахъ. д.) Торговля.д.) Торговля. Торговыхъ свидѣтельствъ и билетовъ выдано в 1872 г. 6305, болѣе чѣмъ въ предъидущемъ на 396, — по всей губерніи. Въ частности же по округамъ: Ачинскому 149, Енисейскому 139, Минусинскому 93, и Канскому 50. Въ Красноярскомъ же округѣ свидѣтельствъ уменьшилось на 35. По роду свидѣтельствъ увеличеніе пало главнымъ образомъ, какъ и въ предшествовавшемъ году, на свидѣтельства на мелочной торгъ съ полнаго и половиннаго пошлиною, на развозный торгъ, на мѣщанскіе промыслы и прикащичьи свидѣтельства. По сравненію съ цифрами предъидущаго года оказывается, что развивается преимущественно мелочная торговля среди сельскаго населенія, которая, кромѣ того, болѣе и болѣе равномѣрно распредѣляется по разнымъ округамъ губерніи. II. ПОДАТИ И ПОВИННОСТИ а) Окладные сборы. а) Окладные сборы. Къ 1872 году осталось въ недоимкѣ: 1.) Окладныхъ сборовъ . 368312 р. 10 к. 2.) Причиталось на отчетный годъ оклада . 420155 р. 51 к. Итого 788467 р. 61 к.
d20;1872 год;"ref=""#report_enisei_1872""";40 — 12 — Съ окончаніемъ лѣтнихъ работъ для осеннихъ и зимнихъ оставалось рабочихъ на пріискахъ: 1-й системы . . . . . . . 2260 2-й » . . . . . . . 1435 3-й » . . . . . . . 120 4-й » . . . . . . . . 72 5-й » . . . . . . . . 75 Итого . 3944 Къ этой статьѣ слѣдуетъ вѣдомость № 2-й, о фабрикахъ и заводахъ. д.) Торговля.д.) Торговля. Торговыхъ свидѣтельствъ и билетовъ выдано в 1872 г. 6305, болѣе чѣмъ въ предъидущемъ на 396, — по всей губерніи. Въ частности же по округамъ: Ачинскому 149, Енисейскому 139, Минусинскому 93, и Канскому 50. Въ Красноярскомъ же округѣ свидѣтельствъ уменьшилось на 35. По роду свидѣтельствъ увеличеніе пало главнымъ образомъ, какъ и въ предшествовавшемъ году, на свидѣтельства на мелочной торгъ съ полнаго и половиннаго пошлиною, на развозный торгъ, на мѣщанскіе промыслы и прикащичьи свидѣтельства. По сравненію съ цифрами предъидущаго года оказывается, что развивается преимущественно мелочная торговля среди сельскаго населенія, которая, кромѣ того, болѣе и болѣе равномѣрно распредѣляется по разнымъ округамъ губерніи. II. ПОДАТИ И ПОВИННОСТИ а) Окладные сборы. а) Окладные сборы. Къ 1872 году осталось въ недоимкѣ: 1.) Окладныхъ сборовъ . 368312 р. 10 к. 2.) Причиталось на отчетный годъ оклада . 420155 р. 51 к. Итого 788467 р. 61 к.
